楼盘,具体位置,户型,楼盘状态
万科大都会滨江,"[通州] 核心区,地铁6号线通州北关站北侧",万科大都会滨江在售户型面积为130-260平米,在售 商用公寓 品牌地产
珠江东都国际,[通州] 京通高速耿庄出口向北500米。,3居 － 140平米,在售 普通住宅
京贸国际公馆,[通州] 怡乐中路299号院,3居 － 90~126平米,在售 普通住宅 现房 宜居生态地产
首开万科・云创天地,[通州] 东五环化工桥向东京津高速第一出口通马...,首开万科・云创天地均价约30000元/平,在售 企业独栋 品牌地产
中国铁建・通瑞新天地,[通州] 潞苑东路与潞苑四街交汇处东南角,中国铁建・通瑞新天地交房时间待定,在售 购物中心 市场类商铺
京贸国际城,[通州] 芙蓉东路1号(通燕高速通州新城出口路南...,1居/ 2居/ 3居 － 70~141平米,在售 普通住宅 品牌地产
润枫领尚,[通州] 光机电产业基地核心区兴光三街9号院,1居/ 2居/ 3居/ 4居 － 56~175平米,在售 普通住宅 花园洋房 现房 花园洋房
合生滨江帝景,"[通州] 运河西大街,果园环岛向东两公里",3居 － 99~138平米,在售 普通住宅
东亚尚品台湖,[通州] 台湖镇辅外路(北京国际图书城北侧),东亚尚品台湖总价108万起,在售 酒店写字楼 商业 品牌地产 现房
新光大中心-ArtPark9,[通州] 滨惠北一街,1居/ 2居 － 97~179平米,在售 商用公寓
融创千章墅,[通州] 首都机场向南8公里窑管路,3居/ 4居/ 5居/ 5居以上 － 186~453平米,在售 别墅 现房 特色别墅
华业玫瑰东筑,[通州] 梨园南街和临河里路交汇处,1居/ 2居/ 3居/ 4居 － 49~196平米,在售 普通住宅 品牌地产
V7九间堂,[通州] 通燕高速耿庄桥出口西北侧,4居/ 5居以上 － 270~412平米,在售 别墅 水景地产
台湖银河湾,[通州] 海盛四街,3居/ 5居 － 137~209平米,在售 普通住宅 小户型 现房 总部园区
中睿城,[通州] 光机电一体化产业园区科创东二街5号,1居 － 2000平米,在售 企业独栋 低总价 复合地产 创意地产
8哩岛,[通州] 朝阳北路东端与温榆河交汇处(北京物资学...,8哩岛均价48000元/平米,在售 普通住宅
悦上城,[通州] 中关村科技园区马驹桥1号桥南500米,悦上城售价区间24000元/平米-28000元/平米,在售 写字楼
金融街园中园,[通州] 朝阳北路与温榆河西路交汇路口北2公里金...,金融街园中园在售产品面积为4000-16000平米,在售 企业独栋 品牌地产 公园地产 总部园区
北京国际财富中心,"[通州] 城市副中心核心区,五河交汇大运河燃灯塔...",北京国际财富中心均价82000元/平,在售 企业独栋 水景地产
悦满街,[通州] 通顺路与朝阳北路交叉口东北角,悦满街总价200万/套起,在售 住宅底商
合景中心,[通州] 城市副中心运河cbd核心区滨河中路北段西...,合景中心在售户型面积77-117平米,在售 商用公寓 品牌地产 国际化社区 复合地产
华远好天地中心,[通州] 砖厂南里46号,华远好天地中心均价55000元/平米,在售 其他 品牌地产
