楼盘,具体位置,户型,楼盘状态
珠江・紫宸山,"[昌平] 北七家,立汤路定泗路口向西两公里",珠江・紫宸山独栋在售户型592平、804平,在售 别墅 低密居所 宜居生态地产
未来公元,[昌平] 南区(京承高速北七家出口800米路南),3居/ 4居 － 104~169平米,在售 普通住宅 大平层 品牌地产 国际化社区
保利未来大都汇,[昌平] 未来科学城英才南一街与鲁疃西路交汇处,保利未来大都汇在售户型725-25000�O写字楼产品,在售 其他 品牌地产
京基鹭府,"[昌平] 定泗路,京承高速北七家出口以西1000米",4居 － 522~960平米,在售 别墅 低密居所 豪华居住区 宜居生态地产
北京城建・龙樾华府,[昌平] 京藏高速北安河出口向东约5公里,3居/ 4居 － 210~240平米,在售 别墅 品牌地产 低密居所 特色别墅
恒大城・汇金街,[昌平] 沙河高教园北四街,恒大城・汇金街临街地上一层60000元/平米,在售 市场类商铺 品牌地产
首开国风美唐商铺,[昌平] 地铁13号线霍营站出口科星西路北行约30...,首开国风美唐商铺整售为主,在售 住宅底商
东方蓝海中心,[昌平] 未来科技城南区内科技城路与南区一路交...,3居/ 4居 － 104~136平米,在售 普通住宅 宜居生态地产
金科天玺,[昌平] 顺沙路68号,金科天玺独栋别墅在售户型建面342-397平,在售 别墅 品牌地产 低密居所 现房
龙脉公馆,"[昌平] 小汤山镇,龙脉温泉花园(人民政府北面)",1居/ 2居 － 57~100平米,在售 普通住宅 低总价 现房 中式地产
华润科创大道,[昌平] 未来科学城路与未来科学城滨河大道交汇...,华润科创大道区G座和H座独栋写字楼在售,在售 其他 品牌地产
